epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,100.267,1.29289,1.47208,1.50269,0.00352,0.40506,0.00219,0.0012,2.18522,inf,2.62169,0.0006625,0.0006625,0.0006625
2,198.957,1.37992,1.24588,1.56799,0.51136,0.48351,0.47339,0.24591,1.70375,2.41609,2.20761,0.00130285,0.00130285,0.00130285
3,296.494,1.34111,1.16366,1.53116,0.59569,0.59177,0.50913,0.28339,1.64096,1.99394,2.04545,0.0019168,0.0019168,0.0019168
4,393.913,1.32712,1.15721,1.52893,0.69156,0.63924,0.60805,0.3526,1.55067,1.65974,1.85871,0.0018812,0.0018812,0.0018812
5,491.535,1.26152,1.01752,1.46056,0.74623,0.62342,0.66212,0.42352,1.3632,1.4796,1.68558,0.0018416,0.0018416,0.0018416
6,588.945,1.21592,0.99421,1.44419,0.83573,0.72785,0.75551,0.50929,1.31272,0.93046,1.6646,0.001802,0.001802,0.001802
7,686.276,1.18841,0.9403,1.41658,0.82383,0.67722,0.72854,0.46016,1.40514,1.03324,1.79083,0.0017624,0.0017624,0.0017624
8,783.556,1.15829,0.90318,1.39544,0.84802,0.72395,0.7649,0.5129,1.27853,0.86438,1.60081,0.0017228,0.0017228,0.0017228
9,880.926,1.13153,0.87008,1.37564,0.84674,0.70253,0.74434,0.46629,1.31037,0.91369,1.66012,0.0016832,0.0016832,0.0016832
10,978.262,1.13443,0.86445,1.37243,0.89537,0.71835,0.77535,0.50812,1.26939,0.8504,1.59535,0.0016436,0.0016436,0.0016436
11,1075.51,1.10578,0.85198,1.36318,0.90355,0.7115,0.76503,0.50941,1.30561,0.87742,1.6551,0.001604,0.001604,0.001604
12,1172.91,1.08314,0.81248,1.3414,0.85638,0.74051,0.77399,0.52417,1.2659,0.82672,1.5996,0.0015644,0.0015644,0.0015644
13,1270.27,1.08896,0.81642,1.34067,0.80381,0.75201,0.77835,0.51511,1.31543,0.87054,1.59916,0.0015248,0.0015248,0.0015248
14,1367.61,1.07306,0.79306,1.33123,0.83099,0.75,0.78066,0.53861,1.21617,0.8016,1.52068,0.0014852,0.0014852,0.0014852
15,1465.06,1.05711,0.77852,1.32111,0.82509,0.76132,0.78853,0.5179,1.25269,0.81976,1.55486,0.0014456,0.0014456,0.0014456
16,1562.25,1.04221,0.76348,1.30184,0.87282,0.76266,0.80638,0.54524,1.25167,0.75662,1.54947,0.001406,0.001406,0.001406
17,1659.56,1.03551,0.75771,1.30057,0.83207,0.79114,0.80138,0.57335,1.09373,0.69982,1.4382,0.0013664,0.0013664,0.0013664
18,1756.95,1.02721,0.74248,1.29327,0.79295,0.76899,0.76745,0.49824,1.32008,0.84184,1.63466,0.0013268,0.0013268,0.0013268
19,1854.26,1.00975,0.73709,1.28894,0.89032,0.77064,0.80472,0.56294,1.17719,0.70235,1.50825,0.0012872,0.0012872,0.0012872
20,1951.52,1.00544,0.72876,1.27225,0.85814,0.79114,0.82215,0.57584,1.14739,0.71128,1.47561,0.0012476,0.0012476,0.0012476
21,2049.09,1.00802,0.73705,1.27964,0.8671,0.78165,0.821,0.57233,1.173,0.72495,1.50025,0.001208,0.001208,0.001208
22,2146.43,1.00382,0.72999,1.27328,0.91576,0.75683,0.81078,0.58128,1.11513,0.70498,1.46624,0.0011684,0.0011684,0.0011684
23,2243.69,0.99268,0.71849,1.27187,0.88449,0.78481,0.81349,0.54357,1.28412,0.7727,1.57626,0.0011288,0.0011288,0.0011288
24,2340.94,0.9753,0.69371,1.25557,0.86776,0.80696,0.80499,0.55071,1.20227,0.75782,1.52532,0.0010892,0.0010892,0.0010892
25,2438.14,0.96717,0.68334,1.24694,0.92572,0.75316,0.82898,0.59308,1.09232,0.65444,1.44661,0.0010496,0.0010496,0.0010496
26,2535.5,0.94933,0.68531,1.24197,0.88925,0.78769,0.82973,0.59921,1.09282,0.66187,1.41989,0.00101,0.00101,0.00101
27,2632.9,0.94728,0.67293,1.24272,0.91001,0.76899,0.81686,0.57732,1.13915,0.65212,1.44381,0.0009704,0.0009704,0.0009704
28,2730.04,0.94776,0.66912,1.23418,0.90796,0.76582,0.80652,0.57801,1.0952,0.66465,1.41628,0.0009308,0.0009308,0.0009308
29,2827.2,0.93465,0.66209,1.2308,0.88964,0.7943,0.82196,0.58634,1.11053,0.65552,1.42963,0.0008912,0.0008912,0.0008912
30,2924.34,0.92862,0.63889,1.21844,0.89669,0.76907,0.81767,0.5631,1.20631,0.69029,1.51938,0.0008516,0.0008516,0.0008516
31,3021.43,0.91558,0.63913,1.21246,0.86876,0.81013,0.82055,0.57219,1.11587,0.67329,1.48266,0.000812,0.000812,0.000812
32,3118.56,0.9105,0.62998,1.21079,0.90021,0.78165,0.82485,0.58989,1.09294,0.65999,1.41291,0.0007724,0.0007724,0.0007724
33,3215.71,0.90911,0.62839,1.20966,0.88132,0.81013,0.81462,0.58367,1.05377,0.64477,1.39342,0.0007328,0.0007328,0.0007328
34,3312.9,0.8987,0.63271,1.19982,0.89348,0.80063,0.8267,0.59499,1.104,0.64044,1.41866,0.0006932,0.0006932,0.0006932
35,3410.01,0.88464,0.61159,1.1901,0.89074,0.79747,0.82452,0.57579,1.09767,0.659,1.40447,0.0006536,0.0006536,0.0006536
36,3507.34,0.88666,0.61206,1.1937,0.89551,0.79114,0.83961,0.59437,1.07248,0.62263,1.40209,0.000614,0.000614,0.000614
37,3604.65,0.87774,0.61067,1.19036,0.88922,0.78481,0.82844,0.58711,1.11663,0.63324,1.4455,0.0005744,0.0005744,0.0005744
